iter	Recall	Logloss
0	0.6545906815	0.6808000078
1	0.6477341582	0.6701470377
2	0.6416749051	0.6616387798
3	0.640048474	0.6541184466
4	0.6415473419	0.6478232293
5	0.640797908	0.6430482448
6	0.6322352266	0.6383290274
7	0.6458047645	0.6346418659
8	0.6451669484	0.6316821335
9	0.6509232388	0.6286753035
10	0.6565041299	0.6262624394
11	0.6561054948	0.6240427871
12	0.6585610868	0.6220704142
13	0.6560257678	0.6201908119
14	0.6550690436	0.6187007337
15	0.6570303282	0.6171565104
16	0.6589437765	0.6159938397
17	0.661574768	0.6147734892
18	0.659677265	0.6136371265
19	0.661654495	0.6125386558
20	0.6626909462	0.6115098094
21	0.6649711388	0.6106751266
22	0.6667570239	0.6097382736
23	0.6647319578	0.6089029384
24	0.6652900469	0.6080550759
25	0.6674107855	0.607215933
26	0.6693401792	0.606404069
27	0.6681761648	0.6058337668
28	0.6670121504	0.6050782328
29	0.6675383487	0.6042223583
30	0.6694039608	0.6037810345
31	0.6693242338	0.6032134568
32	0.6696271965	0.6025656141
33	0.6698185413	0.6019282635
34	0.6726249322	0.6013502535
35	0.6745383806	0.6008649626
36	0.6737570558	0.6002810551
37	0.6742673087	0.5997361959
38	0.6749370157	0.5989679376
39	0.6771853175	0.5983718028
40	0.6765634468	0.5978800632
41	0.6778709698	0.5973947641
42	0.6770736997	0.5967925548
43	0.6778071882	0.5962569292
44	0.6775680071	0.5957948653
45	0.6792582199	0.5951991173
46	0.6811876136	0.5946437868
47	0.6804062889	0.5940251879
48	0.6806773607	0.5936151279
49	0.6813789584	0.5931165911
50	0.6828778263	0.592562734
51	0.6825748637	0.5920828351
52	0.6839142775	0.5915942713
53	0.6837867143	0.5910987198
54	0.6848072201	0.5906473424
55	0.6860509615	0.5900926494
56	0.6858596167	0.5894637946
57	0.6862901426	0.5888568814
58	0.6860669069	0.5884767529
59	0.6873903754	0.5881053597
60	0.6876295564	0.5875340453
61	0.6882195363	0.5869166609
62	0.689590841	0.5863653889
63	0.6905954013	0.586050473
64	0.6907070192	0.5857283181
65	0.6905954013	0.585508474
66	0.6909302548	0.5849419201
67	0.6912332175	0.5845914925
68	0.6919188698	0.5840330151
69	0.6921899416	0.5835827795
70	0.6925247951	0.5831866325
71	0.692955321	0.5828903126
72	0.6930669388	0.5824707036
