iter	Recall	Logloss
0	0.4876212538	0.6899624797
1	0.6267554655	0.6869397758
2	0.6119878384	0.6838001619
3	0.5989575793	0.681038978
4	0.5992471406	0.6783957324
5	0.5954828435	0.6756560886
6	0.5949037209	0.6734698921
7	0.5957724048	0.67098463
8	0.5967858694	0.6686947431
9	0.6044592442	0.6665588137
10	0.6096713479	0.664598881
11	0.6166208195	0.6628278576
12	0.6170551614	0.6608699772
13	0.6202403359	0.6591557773
14	0.6261763428	0.6579276667
15	0.628203272	0.6562905593
16	0.634139279	0.6548922724
17	0.6338497177	0.6534566891
18	0.6357318662	0.6520636748
19	0.6348631823	0.6507773027
20	0.6339944983	0.6494273917
21	0.6344288403	0.6482483134
22	0.6357318662	0.6471911824
23	0.6350079629	0.6460202737
24	0.6350079629	0.6450034555
25	0.634573621	0.644116148
26	0.6358766469	0.6431397501
27	0.6354423049	0.6421362652
28	0.63877226	0.6412000115
29	0.6376140148	0.6403081999
30	0.6389170407	0.6394682677
31	0.6403648473	0.6386651599
32	0.639640944	0.6378409763
33	0.639640944	0.6372286925
34	0.6380483567	0.6364975851
35	0.6376140148	0.6357243779
36	0.6394961633	0.6350541955
37	0.6402200666	0.6344363178
38	0.6419574345	0.633844959
39	0.6421022151	0.633397466
40	0.6419574345	0.6328873893
41	0.6428261184	0.6322895088
42	0.6421022151	0.6317305574
43	0.6423917765	0.6312537056
44	0.643839583	0.6307273958
45	0.6458665122	0.6301525566
46	0.6468799768	0.6296817718
47	0.6486173447	0.6291702918
48	0.6496308093	0.6286839332
49	0.6496308093	0.6282628129
50	0.6518025192	0.6278649234
51	0.6509338352	0.627433295
52	0.6500651513	0.6269783005
53	0.6509338352	0.6266064287
54	0.6518025192	0.6262239425
55	0.650209932	0.625850152
56	0.6503547126	0.6255005029
57	0.6518025192	0.6250823177
58	0.653974229	0.6247085102
59	0.6545533517	0.6243342879
60	0.6551324743	0.6239785466
61	0.6558563776	0.6236646585
62	0.6555668163	0.6234004929
63	0.6564355002	0.623117146
64	0.6557115969	0.622851593
65	0.6557115969	0.622549954
66	0.6565802809	0.6222714092
67	0.6567250615	0.6220118441
68	0.6580280874	0.6217474519
69	0.6583176488	0.6215191139
70	0.6574489648	0.621320018
71	0.6581728681	0.6211564373
72	0.6570146228	0.6209644769
73	0.6573041842	0.6207304931
74	0.6574489648	0.6204787076
75	0.6561459389	0.6202636818
76	0.6561459389	0.6200507961
77	0.6575937455	0.6198560698
78	0.6587519907	0.6196642853
79	0.6596206747	0.6195062236
80	0.6604893586	0.6192346589
81	0.6604893586	0.6190470976
82	0.6600550166	0.6188228507
83	0.659910236	0.6185515207
84	0.6601997973	0.618368396
85	0.6609237006	0.6181750662
86	0.6604893586	0.6179749283
87	0.6600550166	0.6177976936
