iter	Passed	Remaining
0	25	7504
1	44	6593
2	62	6163
3	81	6012
4	99	5855
5	119	5851
6	137	5737
7	158	5772
8	181	5859
9	199	5790
10	220	5785
11	239	5748
12	259	5720
13	279	5701
14	298	5680
15	320	5688
16	342	5696
17	363	5700
18	384	5681
19	404	5658
20	424	5640
21	446	5638
22	465	5609
23	486	5590
24	508	5595
25	529	5576
26	552	5581
27	574	5577
28	592	5539
29	612	5515
30	633	5498
31	656	5502
32	677	5478
33	697	5454
34	718	5438
35	737	5407
36	759	5401
37	778	5367
38	797	5337
39	818	5318
40	838	5295
41	858	5276
42	881	5268
43	901	5243
44	922	5225
45	947	5230
46	972	5232
47	1066	5600
48	1123	5756
49	1170	5852
50	1189	5808
51	1212	5782
52	1234	5753
53	1254	5714
54	1273	5674
55	1293	5638
56	1317	5615
57	1337	5580
58	1359	5554
59	1384	5539
60	1404	5501
61	1424	5468
62	1446	5441
63	1465	5403
64	1484	5365
65	1507	5343
66	1529	5317
67	1549	5286
68	1569	5255
69	1592	5232
70	1613	5204
71	1633	5171
72	1655	5146
73	1675	5116
74	1695	5085
75	1718	5064
76	1740	5039
77	1762	5015
78	1781	4982
79	1802	4956
80	1825	4935
81	1846	4908
82	1865	4877
83	1884	4846
84	1904	4816
85	1924	4788
86	1950	4775
87	1969	4743
88	1989	4715
89	2008	4687
90	2032	4668
91	2051	4638
92	2071	4611
93	2095	4591
94	2118	4571
95	2142	4552
96	2164	4529
97	2185	4504
98	2207	4481
99	2229	4458
100	2250	4434
101	2272	4411
102	2292	4384
103	2312	4358
104	2338	4342
105	2359	4317
106	2378	4290
107	2400	4266
108	2419	4239
109	2441	4217
110	2463	4193
111	2482	4166
112	2505	4146
113	2527	4123
114	2552	4105
115	2571	4078
116	2593	4056
117	2612	4030
118	2631	4003
119	2655	3983
120	2676	3959
121	2713	3959
122	2738	3941
123	2763	3921
124	2791	3908
125	2821	3895
126	2845	3876
127	2871	3858
128	2896	3839
129	2921	3820
130	2947	3802
131	2970	3780
132	2997	3763
133	3022	3744
134	3053	3731
135	3078	3712
136	3108	3697
137	3137	3682
138	3162	3663
139	3186	3641
140	3209	3619
141	3236	3601
142	3258	3577
143	3284	3558
144	3312	3541
145	3337	3520
146	3360	3497
147	3385	3477
148	3411	3457
149	3438	3438
150	3462	3416
151	3488	3396
152	3512	3374
153	3536	3352
154	3564	3334
155	3588	3312
156	3615	3292
157	3638	3270
158	3661	3246
159	3685	3224
160	3715	3207
161	3738	3184
162	3768	3167
163	3790	3143
164	3815	3122
165	3841	3100
166	3866	3078
167	3891	3057
168	3921	3039
169	3946	3018
170	3967	2993
171	3991	2970
172	4017	2948
173	4044	2928
174	4067	2905
175	4091	2882
176	4117	2861
177	4144	2840
178	4168	2817
179	4194	2796
180	4218	2773
181	4243	2751
182	4265	2727
183	4292	2706
184	4317	2683
185	4344	2663
186	4367	2638
187	4390	2615
188	4411	2591
189	4435	2567
190	4462	2546
191	4489	2525
192	4512	2501
193	4537	2479
194	4562	2456
195	4589	2435
196	4611	2410
197	4639	2389
198	4662	2366
199	4684	2342
200	4709	2319
201	4737	2298
202	4762	2275
203	4791	2254
204	4819	2233
205	4842	2209
206	4862	2184
207	4884	2160
208	4906	2136
209	4925	2111
210	4949	2087
211	4969	2062
212	4992	2039
213	5012	2014
214	5032	1989
215	5052	1964
216	5071	1939
217	5094	1916
218	5117	1892
219	5138	1868
220	5158	1844
221	5179	1819
222	5203	1796
223	5223	1772
224	5244	1748
225	5262	1723
226	5283	1699
227	5305	1675
228	5325	1651
229	5345	1626
230	5368	1603
231	5391	1580
232	5414	1557
233	5435	1533
234	5455	1508
235	5474	1484
236	5498	1461
237	5519	1437
238	5538	1413
239	5557	1389
240	5578	1365
241	5600	1342
242	5619	1318
243	5638	1294
244	5660	1270
245	5681	1247
246	5702	1223
247	5724	1200
248	5745	1176
249	5764	1152
250	5784	1129
251	5810	1106
252	5831	1083
253	5849	1059
254	5869	1035
255	5887	1011
256	5912	989
257	5933	965
258	5951	942
259	5976	919
260	5996	895
261	6019	872
262	6040	849
263	6061	826
264	6079	803
265	6100	779
266	6128	757
267	6148	734
268	6169	710
269	6194	688
270	6218	665
271	6240	642
272	6263	619
273	6284	596
274	6306	573
275	6325	550
276	6346	526
277	6369	504
278	6390	481
279	6412	458
280	6437	435
281	6458	412
282	6478	389
283	6499	366
284	6520	343
285	6541	320
286	6562	297
287	6583	274
288	6604	251
289	6626	228
290	6651	205
291	6672	182
292	6692	159
293	6714	137
294	6734	114
295	6758	91
296	6777	68
297	6797	45
298	6820	22
299	6840	0
